    1.22  175.75    1.61     221.18   1.22   0.4491   0.0412 1 0 .100E+01
    1.02  165.83    1.27     226.86   2.65   0.5349   0.0963 1 0 .100E+01
    0.77    0.74    1.05     227.84   3.34   0.4015   0.0161 0 0 .999E+00
    2.63  198.37    3.85     214.58   2.04   0.4580   0.0519 1 1 .100E+01
    1.07  233.78    1.54     229.74   2.55   0.3267   0.0570 1 0 .100E+01
    0.95  265.19    1.16     228.37   1.91   0.4655   0.0486 1 0 .100E+01
    0.70  312.66    0.70     211.08   2.29   0.5553   0.0512 1 0 .999E+00
    1.08  301.78    1.08     220.80   2.60   0.3913   0.0673 1 0 .100E+01
    6.31   52.33    9.17     225.45   4.14   0.3987   0.0866 1 0 .100E+01
    6.96   58.27    9.90      29.80   1.48   0.6747   0.0480 1 1 .000E+00
    6.15   56.15    8.81     209.20   4.80   0.3468   0.1456 1 0 .100E+01
    5.80   61.58    8.14     220.88   1.34   0.3381   0.0448 1 1 .100E+01
    5.25  133.69    5.34     -64.96   5.13   0.7130   0.1494 1 0 .000E+00
    5.23  127.62    5.24     227.29   2.18   0.1826   0.1492 1 0 .100E+01
    4.14  111.54    4.26     215.55   3.86   0.5774   0.1227 0 1 .999E+00
    4.20   91.23    4.91     218.83   3.37  -0.4480   0.0326 0 0 .998E+00
    4.47   68.77    6.06     222.96   2.21  -0.6225   0.0317 0 0 .999E+00
    5.53  143.03    5.86     223.93   2.70   0.3958   0.0920 1 0 .100E+01
    4.53  135.72    4.63     221.12   3.08   0.2833   0.0949 1 0 .100E+01
    3.46   82.18    4.30     209.52   4.01   0.4081   0.0683 1 0 .100E+01
    3.83   72.70    5.07     216.65   3.93   0.2172   0.0922 1 0 .100E+01
    6.70  237.99    9.54     222.54   2.66   0.2419   0.0866 0 1 .100E+01
    6.77  246.58    9.27     221.63   1.67   0.3966   0.0799 1 0 .100E+01
    6.06  251.92    8.06     219.70   2.60   0.4402   0.0902 1 0 .100E+01
    4.76  272.05    5.52     232.24   3.26   0.5132   0.1538 1 0 .999E+00
    4.89  208.19    7.28     223.77   3.29   0.4161   0.0961 1 0 .100E+01
    7.50   67.09   10.25     224.22   1.70   0.4157   0.1017 1 0 .100E+01
    6.60  106.10    6.98     224.53   3.31   0.2669   0.0978 1 0 .100E+01
    5.33  100.91    5.83     227.50   1.89   0.3888   0.0901 1 0 .100E+01
    5.28   97.50    5.90     220.03   1.35   0.2461   0.0847 1 0 .100E+01
    4.74   88.55    5.65     215.66   5.29   0.4179   0.1006 1 0 .100E+01
    4.87  108.17    5.10     230.65   2.61   0.3264   0.0971 1 0 .100E+01
   16.32  276.30   18.38     -89.99   4.43   0.6643   0.1244 1 0 .000E+00
   15.40  260.13   19.44     219.25   3.91   0.3914   0.1186 1 0 .100E+01
   14.10  274.15   16.12     227.32   2.87   0.2821   0.0919 1 0 .100E+01
   13.57  272.41   15.72     110.60   1.58   0.9853   0.0575 1 0 .000E+00
   13.33  268.88   15.84     222.32   2.68   0.4087   0.0954 1 0 .100E+01
   14.78  244.61   20.46    -138.12   4.45   0.4945   0.3007 1 0 .000E+00
   14.13  247.74   19.23     231.14   2.32   0.3104   0.0688 1 0 .100E+01
   12.78  255.04   16.68     223.61   5.27  -0.5812   0.1193 0 0 .995E+00
   14.11  234.02   20.39     220.55   2.33   0.5361   0.0767 1 0 .999E+00
   13.43  241.53   18.84      16.29   1.58   0.8500   0.0161 2 0 .000E+00
   12.21  289.92   12.66     224.92   2.56   0.3981   0.0957 2 0 .100E+01
   11.52  289.41   11.98     220.02   3.84   0.3273   0.1129 1 0 .100E+01
   10.69  283.91   11.46     212.15   0.66   0.4934   0.0311 1 0 .100E+01
   10.35  279.63   11.39      69.06   1.30   0.9532   0.0380 1 0 .000E+00
    9.86  278.05   10.97     227.73   1.53   0.4166   0.0538 1 0 .100E+01
   10.21  288.86   10.64     131.33   2.20   0.5868   0.1717 2 0 .266E-31
    9.44  281.55   10.27     227.31   2.18   0.4167   0.0625 1 0 .100E+01
    9.48  279.47   10.45      15.17   1.72   0.8349   0.0467 1 0 .000E+00
   10.61  235.25   15.27      29.01   0.91   0.9532   0.0399 1 1 .000E+00
    9.13  248.63   12.38     224.16   4.14   0.3760   0.1160 1 0 .100E+01
    9.00  252.41   11.94     233.99   1.03   0.4127   0.0351 1 0 .100E+01
    8.75  254.09   11.49     233.82   4.26   0.4200   0.1050 1 0 .100E+01
   11.81  233.61   17.09     212.11   2.30   0.6145   0.0761 2 0 .976E+00
    9.80  252.60   12.98     229.23   3.06   0.4019   0.1044 1 0 .100E+01
    9.89  257.62   12.70      77.83   2.11   0.9516   0.0434 1 0 .000E+00
    8.68  300.47    8.70     244.72   4.71   0.2233   0.0487 0 0 .963E+00
    7.64  273.08    8.80     214.40   1.26   0.4318   0.0428 1 0 .100E+01
    7.96  266.40    9.63     233.11   1.50   0.3039   0.0880 1 0 .100E+01
    7.06  267.89    8.45      56.79   1.86   0.8171   0.0348 1 0 .000E+00
    8.68  219.81   12.93     224.09   5.12   0.3326   0.1511 1 0 .100E+01
    8.05  226.51   11.86      -6.02   4.77   0.2828   0.1653 1 0 .000E+00
    6.36  245.00    8.79     220.21   1.84   0.3951   0.0815 1 0 .100E+01
    6.56  252.53    8.70      66.34   3.70   0.5410   0.1264 1 0 .000E+00
    8.23  231.17   11.99     240.75   2.35   0.2547   0.0700 2 0 .100E+01
    7.21  251.57    9.61     220.74   3.95   0.2373   0.1193 1 0 .100E+01
    7.33  254.31    9.60     222.83   0.96   0.4355   0.0554 1 0 .100E+01
    4.46  275.53    5.05     241.16   4.94   0.4407   0.0904 1 0 .100E+01
    4.61  303.76    4.61     223.37   3.22   0.3480   0.1768 1 0 .100E+01
    4.22  302.41    4.22     230.00   3.06   0.4725   0.0998 1 0 .100E+01
    3.07  282.41    3.32     231.14   0.89   0.4202   0.0298 1 0 .100E+01
    6.51  216.89    9.72     223.82   3.32  -0.2733   0.0404 0 0 .998E+00
    5.52  230.73    8.07     218.03   1.78  -0.2530   0.0292 0 0 .998E+00
    5.22  231.68    7.60     225.23   0.81  -0.2533   0.0155 0 0 .998E+00
    4.49  243.55    6.24     223.76   2.31   0.2006   0.1108 1 0 .100E+01
    4.45  253.44    5.87     213.12   2.47   0.2329   0.1733 1 0 .100E+01
   13.38  293.52   13.66     206.55   4.00   0.4178   0.2135 1 0 .992E+00
    9.52  291.58    9.79     224.32   1.41   0.3857   0.0702 1 1 .100E+01
    8.92  296.28    9.03      50.69   1.37   0.8296   0.0849 2 0 .000E+00
   12.97  230.51   18.94     219.82   1.82   0.4200   0.0840 1 0 .100E+01
   12.05  235.07   17.35     220.96   1.43   0.5654   0.0492 1 0 .998E+00
   14.00  230.45   20.45      47.54   1.85   0.8850   0.0237 1 1 .000E+00
   13.35  235.83   19.17      64.29   0.91   0.9652   0.0353 1 0 .000E+00
   12.32  242.19   17.24     222.71   2.07   0.4487   0.1030 1 0 .100E+01
    8.40  234.40   12.12     222.42   0.89   0.4267   0.0415 1 1 .100E+01
   12.14  245.95   16.69     225.87   1.01   0.5312   0.0475 1 0 .999E+00
   12.53  243.25   17.45     218.35   2.83   0.4560   0.0893 1 0 .100E+01
   11.48  239.70   16.23     221.56   2.64   0.7229   0.1160 1 0 .962E+00
   11.55  237.23   16.49     228.67   3.61   0.4429   0.0891 1 0 .100E+01
   15.05  215.59   22.46     304.01   1.75   0.6971   0.0337 2 0 .000E+00
   14.80  217.06   22.07      98.72   1.10   0.8664   0.0250 1 1 .000E+00
   13.15  227.34   19.34     221.05   2.19   0.3306   0.0626 2 0 .100E+01
   16.73  216.12   24.96     229.02   3.12   0.3760   0.1128 1 0 .100E+01
   16.21  218.06   24.16     225.23   2.32   0.2804   0.0476 2 0 .100E+01
   15.54  222.81   23.05     222.32   2.90   0.5441   0.1335 1 0 .996E+00
